worked,income,threepluskids,educ,boy1st,boy2nd,black,hisp,othrace,age,agefirstbirth
1,14095.95,1,14,1,1,0,0,0,34,19
0,0,1,12,1,1,0,0,0,30,20
0,0,1,12,0,1,0,0,0,31,19
0,0,1,12,1,0,0,0,0,35,18
1,41993.969,0,10,1,0,0,0,0,29,18
0,0,1,12,1,0,1,0,0,28,17
0,0,0,9,1,1,0,0,0,34,19
1,96572.477,0,12,0,0,0,0,0,29,18
1,3851.9834,0,12,1,1,0,0,0,28,22
0,0,0,12,0,0,0,0,0,24,21
0,0,1,12,1,0,0,0,0,30,18
1,28601.24,0,17,1,0,0,0,0,34,25
1,52.47934,1,12,1,1,0,0,0,33,19
0,0,0,14,1,0,0,0,0,32,26
0,0,0,12,1,1,0,0,0,28,22
0,0,0,10,0,1,0,0,0,28,16
0,0,0,11,1,1,0,0,0,32,21
1,14704.711,1,12,0,0,0,0,0,31,19
1,6517.9341,0,12,1,0,0,0,0,30,21
1,3159.2561,0,9,0,1,0,0,0,31,20
1,16803.885,1,12,0,0,0,0,0,35,17
0,0,0,12,0,1,0,0,0,33,23
0,0,0,12,0,0,0,0,0,24,18
1,325.37189,0,12,1,0,0,0,0,25,19
1,4208.8428,0,12,1,1,0,0,0,31,17
1,25200.578,0,17,0,1,0,0,0,30,25
1,14704.711,0,12,0,1,0,0,0,30,17
1,5048.5122,1,12,1,0,0,0,0,31,19
0,0,1,12,0,1,0,0,0,34,24
1,1270,0,14,1,0,0,0,0,32,20
1,21002.23,0,12,1,1,0,0,0,31,16
1,94.462807,1,10,1,1,0,0,0,28,18
0,0,0,12,1,0,0,0,0,28,20
0,0,0,8,1,0,0,0,0,21,16
0,0,1,7,1,1,0,0,0,33,20
1,430.33057,0,16,0,0,0,0,0,35,23
0,0,1,14,1,0,0,0,0,28,23
0,0,0,12,0,0,0,0,0,25,19
1,23101.404,0,9,0,1,0,0,0,30,16
0,0,1,12,0,0,0,0,0,27,23
1,7021.7354,1,12,1,1,0,0,0,32,20
0,0,0,7,0,1,0,0,0,27,19
1,10506.363,1,12,1,0,0,0,0,34,19
1,3033.3057,0,12,0,0,0,0,0,35,22
1,11555.95,0,10,0,0,0,0,0,28,19
1,15124.546,0,13,1,0,0,0,0,35,25
0,0,0,12,1,1,0,0,0,33,23
0,0,0,12,0,1,0,0,0,34,19
0,0,0,12,0,0,0,0,0,34,24
1,5258.4297,0,12,0,0,0,0,0,27,20
0,0,0,9,0,0,0,0,0,31,26
1,28349.338,1,11,1,0,0,0,0,30,17
1,13655.124,1,10,1,0,0,0,0,32,17
0,0,0,9,0,1,0,0,0,25,15
1,262.3967,0,12,1,1,0,0,0,34,22
1,1060.0826,1,9,0,1,0,0,0,27,16
1,6308.0166,1,11,1,0,0,0,0,32,17
1,10506.363,1,12,1,0,0,0,0,34,16
0,0,0,16,0,1,0,0,0,31,27
1,1605.8678,1,12,0,0,0,0,0,32,17
0,0,0,12,1,0,0,0,0,34,21
0,0,1,10,0,0,0,0,0,30,17
0,0,0,12,0,1,0,0,0,23,18
1,16384.049,1,10,0,1,0,0,0,29,17
1,13235.289,1,18,0,0,0,0,0,35,23
1,3663.0579,0,13,0,1,0,0,0,28,19
1,18252.314,0,11,0,0,0,0,0,32,17
1,13025.372,1,12,0,1,0,0,0,33,18
1,27299.752,0,18,1,1,0,0,0,32,19
1,6308.0166,0,12,1,0,0,0,0,26,20
1,14431.818,0,12,0,1,0,0,0,33,18
1,5006.5288,0,9,0,1,0,0,0,31,23
1,10506.363,1,16,0,1,0,0,0,28,22
0,0,0,12,0,0,0,0,0,28,19
1,262.3967,1,12,0,0,0,0,0,30,20
0,0,1,11,0,0,0,0,0,28,19
1,4208.8428,0,11,1,1,0,0,0,31,20
1,14704.711,0,12,1,0,0,0,0,32,17
0,0,1,12,1,0,0,0,0,33,22
0,0,1,10,1,1,0,0,0,35,17
1,10506.363,0,12,1,1,0,0,0,30,17
1,19322.893,0,14,1,0,0,0,0,30,25
0,0,0,14,1,0,0,0,0,31,24
0,0,0,12,0,0,0,0,0,32,21
1,6308.0166,1,12,0,1,0,0,0,35,20
1,6517.9341,0,12,1,1,0,0,0,31,23
0,0,1,12,1,1,0,0,0,30,19
1,31.487604,0,12,1,0,0,0,0,33,20
1,16593.967,1,12,0,0,0,0,0,33,18
1,8470.165,0,10,1,1,0,0,0,29,20
0,0,0,12,1,0,0,0,0,29,19
0,0,0,12,0,1,0,0,0,32,22
0,0,0,12,0,1,0,0,0,27,23
1,1207.0248,1,11,0,1,0,0,0,33,18
0,0,1,12,1,1,0,0,0,27,17
1,9246.8594,0,9,1,1,0,0,0,26,17
0,0,0,12,0,0,0,0,0,27,21
0,0,1,12,1,1,0,0,0,35,18
1,15754.298,0,12,1,1,0,0,0,26,19
0,0,0,10,0,1,0,0,0,30,16
1,0,0,12,0,0,0,0,0,28,19
0,0,1,12,0,0,0,0,0,31,21
0,0,0,12,0,0,0,0,0,27,20
0,0,0,12,0,0,0,0,0,32,21
1,18903.059,1,12,0,0,1,0,0,35,17
0,0,1,10,0,1,0,0,0,33,19
0,0,0,11,0,1,0,0,0,28,17
1,4208.8428,1,9,0,0,0,0,0,33,22
0,0,1,10,0,0,0,0,0,32,18
1,12605.537,1,9,0,0,0,0,0,30,19
1,18273.307,0,16,1,0,0,0,0,35,21
0,0,0,16,1,1,0,0,0,32,23
1,14494.793,0,13,1,1,0,0,0,33,24
0,0,1,12,0,0,0,0,0,32,19
0,0,1,12,0,1,0,0,0,34,20
1,21002.23,0,12,1,1,0,0,0,27,18
0,0,1,14,1,0,0,0,0,35,19
1,1689.8347,1,12,0,0,0,0,0,30,21
1,0,0,12,1,1,0,0,0,22,19
0,0,0,16,0,1,0,0,0,34,25
1,4208.8428,0,12,1,0,0,0,0,29,20
1,6748.8428,1,9,0,0,0,0,0,31,16
0,0,1,12,0,1,0,0,0,33,25
0,0,1,15,1,1,0,0,0,28,21
1,15775.289,0,12,0,0,0,0,0,28,20
0,0,0,12,1,1,0,0,0,29,18
0,0,1,13,1,1,0,0,0,32,23
1,22156.777,0,12,0,1,0,0,0,34,19
1,14704.711,1,13,1,1,0,0,0,35,20
1,682.23138,0,10,0,1,0,0,0,31,21
0,0,0,12,1,0,0,0,0,28,19
0,0,1,10,1,1,0,0,0,25,20
0,0,0,9,0,1,0,0,0,34,25
1,5048.5122,0,17,1,1,0,0,0,27,18
1,3033.3057,0,10,0,1,0,0,0,23,20
1,4208.8428,1,10,1,1,0,0,0,23,18
0,0,0,12,1,0,0,0,0,29,20
1,2298.595,0,9,1,1,0,0,0,29,16
0,0,0,12,0,1,0,0,0,29,23
1,2529.5042,0,12,1,1,0,0,0,30,19
1,32547.686,0,12,1,0,0,0,0,32,22
1,7882.3965,0,12,1,0,0,0,0,34,18
1,976.11572,0,16,1,0,0,0,0,26,21
0,0,0,12,0,1,0,0,0,31,20
0,0,0,14,1,1,0,0,0,28,20
1,9351.8184,0,12,0,1,0,0,0,34,21
0,0,0,13,0,1,0,0,0,33,25
0,0,0,12,0,0,0,0,0,23,17
0,0,1,12,0,0,0,0,0,34,22
1,12605.537,0,12,1,1,0,0,0,26,19
0,0,1,12,0,0,0,0,0,30,19
1,16929.834,0,12,0,1,0,0,0,27,17
0,0,1,12,1,1,0,0,0,33,22
1,23521.24,0,16,0,0,0,0,0,35,25
1,18903.059,0,12,0,1,0,0,0,30,19
0,0,0,12,0,0,0,0,0,28,25
1,1060.0826,0,12,1,0,0,0,0,30,17
1,2949.3389,0,12,0,1,0,0,0,31,19
1,21002.23,0,12,1,1,0,0,0,31,18
1,17118.76,0,12,1,0,0,0,0,24,18
0,0,0,9,1,1,0,0,0,24,16
0,0,1,14,1,1,0,0,0,33,23
0,0,1,12,0,0,0,0,0,29,18
0,0,0,16,0,1,0,0,0,31,26
1,8071.3223,1,12,0,1,0,0,0,31,15
1,21002.23,0,11,0,1,0,0,0,27,17
0,0,1,10,0,0,0,0,0,30,16
1,6308.0166,1,12,0,1,0,0,0,28,19
1,7357.6035,0,11,0,1,0,0,0,25,18
1,1270,0,13,1,0,0,0,0,25,20
1,4838.5952,0,12,1,0,0,0,0,33,23
1,10506.363,0,12,1,1,0,0,0,31,19
1,16803.885,1,9,0,1,0,0,0,33,16
0,0,0,12,0,0,0,0,0,25,20
1,3159.2561,0,12,1,0,0,0,0,35,22
0,0,1,11,0,0,0,0,0,25,17
1,73.471077,0,8,0,0,0,0,0,34,18
1,6308.0166,0,16,1,0,0,0,0,31,28
1,21002.23,0,12,0,1,0,0,0,33,22
1,3935.9504,0,11,1,0,0,0,0,29,18
1,21673.967,0,12,0,0,0,0,0,34,18
0,0,0,12,1,1,0,0,0,33,18
0,0,0,12,1,0,0,0,0,25,20
0,0,1,12,0,1,0,0,0,29,22
1,21002.23,0,14,1,1,0,0,0,34,17
1,18903.059,1,9,1,0,1,0,0,25,18
0,0,1,12,0,1,0,0,0,34,19
0,0,0,12,0,0,0,0,0,24,20
1,9036.9424,1,12,1,1,0,0,0,34,18
1,17853.471,0,12,0,0,0,0,0,25,18
0,0,0,12,1,1,0,0,0,27,21
0,0,0,12,0,1,0,0,0,34,19
1,1815.7852,0,12,1,1,0,0,0,32,21
1,3789.0083,0,13,1,1,0,0,0,30,23
0,0,1,12,1,1,0,0,0,29,21
1,3893.967,0,11,1,0,0,0,0,32,19
1,1060.0826,0,12,0,0,0,0,0,33,19
0,0,0,12,0,0,0,0,0,31,18
1,2130.6611,0,12,1,0,0,0,0,34,21
0,0,0,14,1,1,0,0,0,30,25
1,3579.0908,0,12,0,1,0,0,0,25,16
0,0,1,12,1,1,0,0,0,30,22
1,8407.1904,0,14,0,1,0,0,0,26,21
1,8659.0908,0,9,1,1,0,0,0,30,16
0,0,0,10,1,1,0,0,0,25,17
0,0,1,12,0,0,0,0,0,33,22
0,0,0,12,1,1,0,0,0,35,24
1,10506.363,0,12,0,0,0,0,0,25,18
1,1899.7521,0,14,1,1,0,0,0,27,21
1,17223.719,0,12,0,0,0,0,0,32,19
0,0,1,12,1,1,0,0,0,28,19
1,12017.769,0,12,0,1,0,0,0,34,20
0,430.33057,0,12,0,1,0,0,0,25,20
0,0,0,12,1,0,0,0,0,25,19
1,7441.5703,1,20,1,0,1,0,0,33,22
1,7357.6035,1,12,1,0,0,0,0,27,17
1,15754.298,0,12,1,1,0,0,0,27,22
1,1899.7521,1,12,0,1,0,0,0,32,20
1,7987.3555,1,11,0,1,0,0,0,28,17
0,0,1,11,1,1,0,0,0,29,19
0,0,1,11,0,0,0,0,0,33,19
1,7357.6035,0,12,0,1,0,0,0,31,17
0,0,0,12,1,1,0,0,0,27,17
1,18903.059,1,12,0,1,0,0,0,25,17
0,0,0,16,0,1,0,0,0,34,29
0,0,1,9,1,1,0,0,0,32,20
0,0,0,6,0,1,0,0,0,29,15
1,3663.0579,0,12,1,0,0,0,0,34,21
0,0,0,10,1,1,0,0,0,25,18
1,6098.0991,0,12,0,1,0,0,0,35,19
1,10506.363,0,10,1,0,0,0,0,29,21
1,37795.621,0,13,1,1,1,0,0,29,20
1,12941.405,0,10,0,0,0,0,0,32,19
1,26250.166,0,12,1,0,0,0,0,34,19
1,17328.678,1,12,0,1,1,0,0,32,20
0,0,1,11,0,1,0,0,0,28,19
0,0,0,13,0,1,0,0,0,29,17
0,0,0,12,0,0,0,0,0,34,21
1,5468.3472,0,12,1,1,0,0,0,28,21
1,3789.0083,0,11,0,0,0,0,0,28,19
1,25200.578,0,10,0,1,0,0,0,32,15
1,2025.7025,1,9,0,0,0,0,0,26,18
1,724.2149,0,12,0,1,0,0,0,26,18
1,2739.4214,0,12,0,0,0,0,0,32,18
1,22681.57,0,12,1,1,0,0,0,34,19
